keyword,store_id,zip_code
cherries,,99654
cherries,,99701
cherries,,99901
cherries,,97060
cherries,,98057
chicken,,99503
chicken,,99504
chicken,,99515
chicken,,99577
chicken,,99611
chicken,,99615
chicken,,99654
chicken,,99701
chicken,,99901
chicken,,97060
chicken,,98057
Chickpea,,99503
Chickpea,,99504
Chickpea,,99515
Chickpea,,99577
Chickpea,,99611
Chickpea,,99615
Chickpea,,99654
Chickpea,,99701
Chickpea,,99901
Chickpea,,97060
Chickpea,,98057
Chili,,99503
Chili,,99504
Chili,,99515
Chili,,99577
Chili,,99611
Chili,,99615
Chili,,99654
Chili,,99701
Chili,,99901
Chili,,97060
Chili,,98057
Chip,,99503
Chip,,99504
Chip,,99515
Chip,,99577
Chip,,99611
Chip,,99615
Chip,,99654
Chip,,99701
Chip,,99901
Chip,,97060
Chip,,98057
Chocolate,,99503
Chocolate,,99504
Chocolate,,99515
Chocolate,,99577
Chocolate,,99611
Chocolate,,99615
Chocolate,,99654
Chocolate,,99701
Chocolate,,99901
Chocolate,,97060
Chocolate,,98057
chuck roast,,99503
chuck roast,,99504
chuck roast,,99515
chuck roast,,99577
chuck roast,,99611
chuck roast,,99615
chuck roast,,99654
chuck roast,,99701
chuck roast,,99901
chuck roast,,97060
chuck roast,,98057
cilantro,,99503
cilantro,,99504
cilantro,,99515
cilantro,,99577
cilantro,,99611
cilantro,,99615
cilantro,,99654
cilantro,,99701
cilantro,,99901
cilantro,,97060
cilantro,,98057
cocktail,,99503
cocktail,,99504
cocktail,,99515
cocktail,,99577
cocktail,,99611
cocktail,,99615
cocktail,,99654
cocktail,,99701
cocktail,,99901
cocktail,,97060
cocktail,,98057
Coconut,,99503
Coconut,,99504
Coconut,,99515
Coconut,,99577
Coconut,,99611
Coconut,,99615
Coconut,,99654
Coconut,,99701
Coconut,,99901
Coconut,,97060
Coconut,,98057
Cod,,99503
Cod,,99504
Cod,,99515
Cod,,99577
Cod,,99611
Cod,,99615
Cod,,99654
Cod,,99701
Cod,,99901
Cod,,97060
Cod,,98057
coffee,,99503
coffee,,99504
coffee,,99515
coffee,,99577
coffee,,99611
coffee,,99615
coffee,,99654
coffee,,99701
coffee,,99901
coffee,,97060
coffee,,98057
coke,,99503
coke,,99504
coke,,99515
coke,,99577
coke,,99611
coke,,99615
coke,,99654
coke,,99701
coke,,99901
coke,,97060
coke,,98057
Coleslaw,,99503
Coleslaw,,99504
Coleslaw,,99515
Coleslaw,,99577
Coleslaw,,99611
Coleslaw,,99615
Coleslaw,,99654
Coleslaw,,99701
Coleslaw,,99901
Coleslaw,,97060
Coleslaw,,98057
Collard,,99503
Collard,,99504
Collard,,99515
Collard,,99577
Collard,,99611
Collard,,99615
Collard,,99654
Collard,,99701
Collard,,99901
Collard,,97060
Collard,,98057
corn flakes,,99503
corn flakes,,99504
corn flakes,,99515
corn flakes,,99577
corn flakes,,99611
corn flakes,,99615
corn flakes,,99654
corn flakes,,99701
corn flakes,,99901
corn flakes,,97060
corn flakes,,98057
corn,,99503
corn,,99504
corn,,99515
corn,,99577
corn,,99611
corn,,99615
corn,,99654
corn,,99701
corn,,99901
corn,,97060
corn,,98057
Cowpeas,,99503
Cowpeas,,99504
Cowpeas,,99515
Cowpeas,,99577
Cowpeas,,99611
Cowpeas,,99615
Cowpeas,,99654
Cowpeas,,99701
Cowpeas,,99901
Cowpeas,,97060
Cowpeas,,98057
Cracker,,99503
Cracker,,99504
Cracker,,99515
Cracker,,99577
Cracker,,99611
Cracker,,99615
Cracker,,99654
Cracker,,99701
Cracker,,99901
Cracker,,97060
Cracker,,98057
Cranberry,,99503
Cranberry,,99504
Cranberry,,99515
Cranberry,,99577
Cranberry,,99611
Cranberry,,99615
Cranberry,,99654
Cranberry,,99701
Cranberry,,99901
Cranberry,,97060
Cranberry,,98057
Cream,,99503
Cream,,99504
Cream,,99515
Cream,,99577
Cream,,99611
Cream,,99615
Cream,,99654
Cream,,99701
Cream,,99901
Cream,,97060
Cream,,98057
creamer,,99503
creamer,,99504
creamer,,99515
creamer,,99577
creamer,,99611
creamer,,99615
creamer,,99654
creamer,,99701
creamer,,99901
creamer,,97060
creamer,,98057
cucumbers,,99503
cucumbers,,99504
